n,range_insert,range_append
2137,45,42
2138,45,43
2139,57,43
2140,43,42
2141,44,42
2142,43,42
2143,42,41
2144,44,42
2145,44,43
2146,43,44
2147,43,216
2148,43,42
2149,45,44
2150,44,43
2151,43,42
2152,43,42
2153,44,43
2154,44,44
2155,44,42
2156,43,43
2157,45,43
2158,43,42
2159,43,43
2160,45,41
2161,43,44
2162,45,42
2163,44,52
2164,45,50
2165,44,53
2166,45,44
2167,73,43
2168,46,44
2169,44,44
2170,82,42
2171,44,42
2172,46,44
2173,58,43
2174,45,43
2175,45,42
2176,91,44
2177,44,43
2178,44,219
2179,44,44
2180,45,44
2181,44,43
2182,44,42
2183,46,43
2184,44,43
2185,44,43
2186,45,43
2187,44,46
2188,45,43
2189,44,42
2190,45,45
2191,62,44
2192,62,42
2193,46,42
2194,44,45
2195,46,43
2196,45,43
2197,60,43
2198,45,46
2199,44,42
2200,58,43
2201,60,43
2202,45,45
2203,60,43
2204,44,43
2205,46,44
2206,44,42
2207,45,45
2208,46,240
2209,45,45
2210,44,44
2211,45,43
2212,45,43
2213,45,43
2214,45,44
2215,45,43
2216,45,44
2217,44,44
2218,46,43
2219,45,44
2220,45,45
2221,61,43
2222,46,43
2223,46,46
2224,45,44
2225,44,44
2226,45,43
2227,46,46
2228,68,49
2229,78,43
2230,80,44
2231,61,44
2232,45,45
2233,70,45
2234,58,46
2235,51,44
2236,84,44
2237,52,219
2238,78,47
2239,102,45
2240,61,44
2241,67,45
2242,59,43
2243,86,44
2244,106,44
2245,63,46
2246,65,47
2247,80,44
2248,67,44
2249,60,46
2250,66,44
2251,81,45
2252,62,46
2253,138,44
2254,232,43
2255,94,46
2256,51,58
2257,65,44
2258,107,44
2259,120,44
2260,80,44
2261,79,44
2262,60,46
2263,63,45
2264,65,44
2265,107,44
2266,119,222
2267,77,45
2268,81,46
2269,64,43
2270,52,46
2271,50,44
2272,64,44
2273,51,44
2274,81,46
2275,116,45
2276,51,45
2277,89,45
2278,63,44
2279,62,47
2280,50,44
2281,48,45
2282,48,45
2283,60,45
2284,63,45
2285,84,44
2286,72,45
2287,61,45
2288,46,46
2289,46,62
2290,47,46
2291,62,46
2292,46,45
2293,46,44
2294,47,45
2295,62,221
2296,47,45
2297,54,46
2298,47,47
2299,46,46
2300,47,44
2301,75,45
2302,60,46
2303,46,45
2304,72,46
2305,74,47
2306,154,46
2307,154,45
2308,226,45
2309,117,47
2310,46,45
2311,46,45
2312,47,47
2313,46,47
2314,45,46
2315,47,45
2316,49,47
2317,46,46
2318,45,45
2319,46,48
2320,48,46
2321,46,45
2322,47,46
2323,46,224
2324,46,47
2325,45,47
2326,47,46
2327,45,45
2328,45,47
2329,47,46
2330,46,47
2331,45,45
2332,45,46
2333,47,49
2334,192,46
2335,235,45
2336,48,46
2337,49,48
2338,46,46
2339,46,46
2340,46,47
2341,73,46
2342,47,46
2343,93,48
2344,74,46
2345,46,46
2346,48,46
2347,47,48
2348,46,46
2349,46,47
2350,62,48
2351,47,259
2352,73,48
2353,49,47
2354,83,48
2355,48,46
2356,45,46
2357,47,48
2358,46,51
2359,45,215
2360,48,73
2361,47,73
2362,47,51
2363,46,86
2364,48,70
2365,64,47
2366,48,70
2367,62,61
2368,47,46
2369,48,46
2370,48,46
2371,47,47
2372,47,46
2373,48,48
2374,48,46
2375,47,47
2376,60,46
2377,49,49
2378,49,48
2379,49,245
2380,65,48
2381,69,48
2382,66,48
2383,48,46
2384,49,48
2385,48,47
2386,66,46
2387,66,47
2388,97,48
2389,51,46
2390,51,67
2391,75,49
2392,52,46
2393,47,48
2394,51,49
2395,48,47
2396,49,47
2397,123,46
2398,90,50
2399,75,47
2400,70,58
2401,50,49
2402,49,48
2403,47,47
2404,49,48
2405,48,48
2406,49,225
2407,49,60
2408,48,48
2409,48,48
2410,49,48
2411,50,48
2412,48,47
2413,48,48
2414,49,48
2415,49,47
2416,48,47
2417,49,48
2418,49,49
2419,48,47
2420,49,47
2421,49,49
2422,49,49
2423,49,47
2424,51,48
2425,50,48
2426,48,47
2427,83,47
2428,63,49
2429,65,47
2430,51,48
2431,53,49
2432,64,49
2433,65,224
2434,52,48
2435,49,49
2436,59,48
2437,50,47
2438,49,49
2439,48,47
2440,49,48
2441,49,49
2442,49,49
2443,49,48
2444,50,48
2445,49,48
2446,48,50
2447,50,48
2448,51,48
2449,50,49
2450,49,49
2451,52,50
2452,49,48
2453,49,109
2454,51,51
2455,50,48
2456,48,48
2457,50,48
2458,50,51
2459,49,48
2460,50,224
2461,49,51
2462,49,48
2463,50,48
2464,50,49
2465,50,50
2466,48,66
2467,51,54
2468,49,48
2469,50,49
2470,51,48
2471,50,49
2472,51,49
2473,50,49
2474,72,50
2475,64,49
2476,76,49
2477,52,49
2478,50,48
2479,51,50
2480,65,49
2481,51,48
2482,89,50
2483,51,48
2484,123,50
2485,50,48
2486,52,49
2487,53,226
2488,51,50
2489,51,48
2490,50,49
2491,50,50
2492,50,48
2493,52,50
2494,91,48
2495,65,50
2496,54,59
2497,67,50
2498,64,49
2499,56,50
2500,51,50
2501,51,49
2502,49,50
2503,52,49
2504,52,48
2505,49,48
2506,52,51
2507,50,49
2508,52,50
2509,52,50
2510,50,49
2511,51,49
2512,51,50
2513,53,226
2514,53,50
2515,52,50
2516,73,51
2517,52,49
2518,67,50
2519,55,50
2520,51,49
2521,50,51
2522,52,51
2523,68,50
2524,51,53
2525,52,51
2526,52,51
2527,50,50
2528,53,51
2529,50,51
2530,49,50
2531,52,50
2532,52,50
2533,51,50
2534,72,48
2535,53,51
2536,77,50
2537,51,50
2538,54,51
2539,52,224
2540,51,50
2541,52,51
2542,50,51
2543,52,50
2544,71,49
2545,51,50
2546,51,50
2547,52,51
2548,82,55
2549,98,61
2550,172,51
2551,96,52
2552,71,50
2553,60,50
2554,54,50
2555,77,51
2556,60,51
2557,66,53
2558,85,50
2559,91,52
2560,78,50
2561,95,50
2562,97,51
2563,103,51
2564,78,252
2565,75,52
2566,99,50
2567,117,52
2568,119,51
2569,81,50
2570,111,50
2571,70,51
2572,67,50
2573,79,52
2574,90,50
2575,52,50
2576,111,51
2577,61,51
2578,56,51
2579,83,52
2580,76,50
2581,91,50
2582,54,52
2583,53,50
2584,52,51
2585,70,51
2586,53,50
2587,67,51
2588,54,52
2589,68,67
2590,53,225
2591,54,52
2592,58,52
2593,52,51
2594,54,51
2595,52,50
2596,69,51
2597,82,51
2598,53,52
2599,78,52
2600,80,50
2601,53,51
2602,68,52
2603,68,51
2604,53,51
2605,79,51
2606,66,51
2607,55,52
2608,68,52
2609,66,51
2610,54,51
2611,54,51
2612,52,50
2613,54,53
2614,53,50
2615,52,230
2616,55,52
2617,52,52
2618,53,52
2619,54,53
2620,53,52
2621,53,51
2622,55,52
2623,53,52
2624,75,53
2625,80,51
2626,92,54
2627,53,52
2628,93,51
2629,54,53
2630,54,52
2631,53,123
2632,69,142
2633,68,88
2634,54,85
2635,68,124
2636,68,62
2637,54,70
2638,69,56
2639,54,51
2640,73,277
2641,105,54
2642,70,51
2643,54,53
2644,54,52
2645,54,51
2646,55,52
2647,54,53
2648,53,51
2649,70,52
2650,93,52
2651,54,53
2652,56,52
2653,56,53
2654,54,55
2655,53,51
2656,75,53
2657,77,54
2658,60,52
2659,76,54
2660,109,53
2661,123,52
2662,70,53
2663,126,52
2664,113,52
2665,98,234
2666,106,52
2667,63,52
2668,56,53
2669,54,52
2670,53,52
2671,66,53
2672,55,54
2673,54,63
2674,55,55
2675,55,52
2676,71,54
2677,57,54
2678,54,52
2679,68,53
2680,71,53
2681,54,52
2682,54,53
2683,55,53
2684,68,53
2685,69,53
2686,100,59
2687,54,62
2688,54,52
2689,55,230
2690,55,53
2691,54,52
2692,70,55
2693,69,52
2694,55,52
2695,56,53
2696,68,53
2697,69,54
2698,55,53
2699,54,52
2700,54,53
2701,56,53
2702,55,53
2703,53,52
2704,55,53
2705,53,52
2706,53,52
2707,56,54
2708,70,53
2709,81,54
2710,82,53
2711,80,53
2712,54,53
2713,70,229
2714,55,56
2715,56,53
2716,83,54
2717,55,53
2718,55,53
2719,58,54
2720,55,52
2721,55,54
2722,56,72
2723,55,54
2724,54,53
2725,57,54
2726,55,54
2727,86,52
2728,68,54
2729,71,54
2730,70,52
2731,57,54
2732,55,54
2733,56,53
2734,56,55
2735,55,55
2736,57,53
2737,55,228
2738,56,70
2739,74,53
2740,56,57
2741,56,53
2742,60,54
2743,83,53
2744,55,54
2745,71,53
2746,105,54
2747,57,55
2748,93,53
2749,71,56
2750,56,53
2751,57,55
2752,71,54
2753,82,54
2754,83,55
2755,83,82
2756,85,61
2757,58,57
2758,82,55
2759,94,54
2760,83,56
2761,69,228
2762,56,55
2763,56,56
2764,56,55
2765,56,54
2766,58,54
2767,73,54
2768,87,54
2769,58,55
2770,97,55
2771,55,55
2772,73,56
2773,58,55
2774,56,55
2775,58,55
2776,71,55
2777,57,55
2778,130,54
2779,190,55
2780,63,55
2781,89,55
2782,75,55
2783,79,55
2784,107,55
2785,86,229
2786,92,58
2787,71,54
2788,75,55
2789,57,56
2790,57,57
2791,84,55
2792,58,56
2793,71,54
2794,71,55
2795,71,56
2796,72,54
2797,71,55
2798,58,57
2799,72,55
2800,59,54
2801,84,56
2802,81,55
2803,58,55
2804,70,57
2805,70,55
2806,86,55
2807,81,58
2808,71,231
2809,58,55
2810,95,56
2811,61,55
2812,138,70
2813,86,57
2814,72,56
2815,58,55
2816,57,57
2817,56,55
2818,57,56
2819,84,55
2820,84,56
2821,59,56
2822,59,56
2823,58,55
2824,57,57
2825,84,57
2826,85,55
2827,60,56
2828,57,56
2829,59,57
2830,72,56
2831,58,56
2832,73,233
2833,58,55
2834,72,57
2835,112,58
2836,58,69
2837,71,58
2838,72,56
2839,85,57
2840,57,55
2841,59,57
2842,72,55
2843,84,55
2844,72,56
2845,58,56
2846,62,55
2847,71,57
2848,58,56
2849,98,57
2850,107,55
2851,71,55
2852,59,57
2853,72,55
2854,58,56
2855,73,234
2856,60,56
2857,60,57
2858,75,58
2859,72,58
2860,60,55
2861,72,57
2862,58,57
2863,84,56
2864,58,58
2865,81,56
2866,88,57
2867,120,56
2868,62,56
2869,86,56
2870,73,55
2871,82,56
2872,75,57
2873,71,55
2874,59,56
2875,57,57
2876,58,57
2877,59,639
2878,88,89
2879,72,71
2880,89,99
2881,58,116
2882,74,79
2883,95,56
2884,74,57
2885,72,57
2886,60,58
2887,58,57
2888,88,57
2889,74,57
2890,84,57
2891,86,59
2892,59,57
2893,72,56
2894,78,58
2895,73,55
2896,59,57
2897,58,57
2898,89,56
2899,163,57
2900,73,253
2901,59,56
2902,60,58
2903,58,64
2904,59,67
2905,59,66
2906,59,58
2907,58,58
2908,60,58
2909,58,68
2910,59,58
2911,60,58
2912,59,57
2913,138,58
2914,73,57
2915,58,58
2916,61,57
2917,77,66
2918,84,69
2919,97,70
2920,72,68
2921,114,58
2922,73,58
2923,60,240
2924,87,57
2925,72,59
2926,59,58
2927,98,59
2928,59,56
2929,60,58
2930,59,59
2931,60,59
2932,82,58
2933,61,59
2934,61,69
2935,61,58
2936,60,59
2937,59,57
2938,60,58
2939,59,57
2940,60,57
2941,61,59
2942,60,58
2943,59,58
2944,62,60
2945,66,235
2946,76,59
2947,60,60
2948,61,82
2949,61,73
2950,78,57
2951,60,58
2952,60,60
2953,117,58
2954,86,57
2955,76,59
2956,80,58
2957,87,58
2958,73,59
2959,61,59
2960,76,59
2961,74,58
2962,121,59
2963,123,59
2964,61,57
2965,60,59
2966,62,60
2967,82,234
2968,76,60
2969,61,58
2970,88,59
2971,61,59
2972,61,57
2973,74,58
2974,62,59
2975,75,58
2976,76,57
2977,61,60
2978,94,58
2979,64,59
2980,60,58
2981,77,59
2982,61,61
2983,62,72
2984,79,62
2985,85,60
2986,75,69
2987,77,59
2988,305,81
2989,132,234
2990,74,60
2991,84,58
2992,88,58
2993,82,61
2994,91,58
2995,75,59
2996,116,61
2997,128,59
2998,76,61
2999,88,59
3000,89,60
3001,64,60
3002,62,59
3003,80,59
3004,62,60
3005,76,60
3006,71,59
3007,87,59
3008,62,58
3009,66,59
3010,60,58
3011,62,236
3012,60,60
3013,62,59
3014,87,60
3015,74,93
3016,107,60
3017,72,59
3018,104,61
3019,77,60
3020,61,61
3021,64,61
3022,70,59
3023,68,60
3024,64,59
3025,71,59
3026,69,59
3027,157,59
3028,100,62
3029,78,59
3030,117,61
3031,98,62
3032,78,59
3033,103,239
3034,62,61
3035,93,60
3036,133,59
3037,98,59
3038,77,59
3039,62,60
3040,61,59
3041,62,59
3042,63,60
3043,64,60
3044,82,61
3045,62,60
3046,62,60
3047,68,59
3048,60,59
3049,62,60
3050,61,186
3051,61,66
3052,60,86
3053,61,77
3054,80,269
3055,74,61
3056,77,59
3057,75,61
3058,62,60
3059,68,61
3060,61,68
3061,62,60
3062,61,63
3063,62,60
3064,62,60
3065,62,60
3066,61,61
3067,62,62
3068,62,61
3069,79,61
3070,62,61
3071,62,60
3072,66,60
3073,61,60
3074,61,60
3075,62,237
3076,62,62
3077,62,62
3078,82,61
3079,63,61
3080,63,61
3081,62,61
3082,62,62
3083,63,61
3084,62,61
3085,65,60
3086,63,61
3087,61,60
3088,63,61
3089,63,60
3090,62,61
3091,64,61
3092,62,60
3093,62,60
3094,62,60
3095,62,60
3096,63,63
3097,63,237
3098,111,144
3099,77,117
3100,62,99
3101,64,77
3102,92,61
3103,88,61
3104,90,62
3105,78,62
3106,63,61
3107,91,61
3108,67,62
3109,115,60
3110,169,61
3111,64,60
3112,87,63
3113,63,61
3114,64,61
3115,63,61
3116,62,61
3117,64,80
3118,77,240
3119,136,63
3120,89,62
3121,89,61
3122,101,62
3123,71,62
3124,78,61
3125,64,64
3126,63,62
3127,64,62
3128,95,62
3129,65,61
3130,92,62
3131,91,61
3132,90,84
3133,99,60
3134,82,62
3135,66,62
3136,97,61
3137,100,62
3138,89,61
3139,117,238
3140,119,63
3141,115,62
3142,96,61
3143,155,63
3144,273,60
3145,248,63
3146,266,61
3147,250,61
3148,160,63
3149,237,60
3150,325,63
3151,302,61
3152,323,78
3153,284,63
3154,227,61
3155,66,63
3156,63,63
3157,63,62
3158,65,63
3159,64,62
3160,65,236
3161,63,65
3162,64,62
3163,64,63
3164,99,62
3165,162,79
3166,112,64
3167,73,62
3168,67,63
3169,64,61
3170,66,62
3171,62,63
3172,64,60
3173,65,63
3174,63,63
3175,65,62
3176,66,63
3177,77,62
3178,66,63
3179,64,62
3180,63,241
3181,65,64
3182,64,63
3183,64,63
3184,64,61
3185,64,62
3186,65,63
3187,64,65
3188,65,63
3189,69,62
3190,65,62
3191,65,63
3192,64,62
3193,65,63
3194,63,63
3195,63,62
3196,66,63
3197,65,63
3198,64,63
3199,65,62
3200,65,63
3201,68,242
3202,68,65
3203,68,63
3204,68,63
3205,67,63
3206,66,73
3207,64,63
3208,66,64
3209,65,65
3210,64,63
3211,68,68
3212,98,73
3213,106,62
3214,82,65
3215,83,62
3216,93,63
3217,65,62
3218,66,64
3219,64,63
3220,64,63
3221,66,241
3222,66,65
3223,66,63
3224,68,64
3225,66,64
3226,66,64
3227,66,63
3228,66,64
3229,64,64
3230,66,62
3231,67,65
3232,65,63
3233,84,64
3234,66,64
3235,104,63
3236,71,64
3237,66,63
3238,65,64
3239,66,63
3240,64,63
3241,65,241
3242,66,63
3243,66,63
3244,64,65
3245,65,64
3246,67,65
3247,66,64
3248,71,64
3249,69,66
3250,66,63
3251,67,64
3252,66,64
3253,66,64
3254,65,64
3255,67,63
3256,66,64
3257,85,69
3258,117,63
3259,94,64
3260,76,64
3261,66,64
3262,80,242
3263,106,66
3264,108,64
3265,106,64
3266,95,65
3267,67,65
3268,66,65
3269,67,64
3270,66,65
3271,66,64
3272,72,65
3273,82,64
3274,67,64
3275,66,251
3276,67,76
3277,75,106
3278,68,97
3279,68,92
3280,68,81
3281,67,77
3282,66,344
3283,68,66
3284,74,66
3285,74,66
3286,66,68
3287,67,64
3288,67,66
3289,67,65
3290,68,66
3291,68,65
3292,67,64
3293,68,65
3294,67,65
3295,68,66
3296,72,64
3297,75,65
3298,68,68
3299,66,65
3300,69,67
3301,67,242
3302,67,67
3303,67,67
3304,67,64
3305,70,66
3306,66,64
3307,118,65
3308,72,67
3309,67,66
3310,84,140
3311,68,114
3312,262,68
3313,104,82
3314,82,65
3315,156,67
3316,81,66
3317,70,65
3318,68,66
3319,68,67
3320,67,66
3321,68,244
3322,69,69
3323,67,65
3324,68,65
3325,67,65
3326,68,65
3327,86,67
3328,71,64
3329,70,66
3330,68,65
3331,68,66
3332,68,66
3333,69,64
3334,69,78
3335,66,73
3336,70,64
3337,89,67
3338,89,66
3339,100,66
3340,85,64
3341,86,245
3342,84,66
3343,69,66
3344,72,65
3345,70,84
3346,86,67
3347,72,66
3348,71,65
3349,106,67
3350,85,66
3351,102,66
3352,121,66
3353,87,66
3354,70,67
3355,96,65
3356,70,67
3357,69,67
3358,97,67
3359,68,65
3360,70,240
3361,70,69
3362,68,65
3363,68,65
3364,68,66
3365,70,66
3366,68,67
3367,67,67
3368,69,66
3369,68,66
3370,92,67
3371,68,67
3372,69,66
3373,68,68
3374,68,65
3375,69,66
3376,68,66
3377,69,67
3378,326,65
3379,169,66
3380,98,263
3381,68,67
3382,69,67
3383,68,67
3384,70,65
3385,96,67
3386,97,67
3387,117,66
3388,68,66
3389,84,67
3390,84,67
3391,82,67
3392,84,67
3393,119,65
3394,143,68
3395,84,66
3396,77,67
3397,69,67
3398,69,66
3399,69,243
3400,69,67
3401,69,67
3402,69,66
3403,71,67
3404,86,68
3405,84,67
3406,103,68
3407,83,66
3408,84,70
3409,84,66
3410,84,65
3411,71,86
3412,85,67
3413,86,77
3414,68,69
3415,69,68
3416,90,67
3417,69,67
3418,70,243
3419,68,67
3420,71,68
3421,70,67
3422,71,68
3423,69,81
3424,101,67
3425,97,70
3426,125,67
3427,85,68
3428,71,66
3429,71,67
3430,109,68
3431,97,67
3432,71,68
3433,117,66
3434,102,69
3435,98,67
3436,72,67
3437,70,69
3438,69,246
3439,101,69
3440,70,67
3441,71,69
3442,69,67
3443,112,67
3444,85,68
3445,84,67
3446,90,68
3447,85,67
3448,111,68
3449,108,68
3450,99,68
3451,97,68
3452,68,68
3453,110,68
3454,97,68
3455,72,68
3456,71,69
3457,87,246
3458,84,68
3459,110,67
3460,74,70
3461,86,68
3462,120,69
3463,117,68
3464,105,67
3465,71,74
3466,100,68
3467,86,69
3468,96,67
3469,73,68
3470,70,68
3471,113,67
3472,95,68
3473,69,67
3474,112,69
3475,85,245
3476,99,70
3477,72,69
3478,88,67
3479,99,100
3480,71,76
3481,117,70
3482,110,189
3483,86,76
3484,85,70
3485,100,68
3486,86,69
3487,98,68
3488,74,69
3489,70,67
3490,105,69
3491,85,68
3492,87,69
3493,85,68
3494,85,246
3495,73,68
3496,99,68
3497,72,69
3498,99,69
3499,105,69
3500,84,69
3501,73,67
3502,190,69
3503,105,69
3504,124,69
3505,83,69
3506,89,69
3507,71,69
3508,74,68
3509,71,69
3510,99,68
3511,86,163
3512,72,93
3513,73,302
3514,71,69
3515,72,71
3516,86,68
3517,72,69
3518,87,68
3519,85,70
3520,98,70
3521,87,70
3522,73,71
3523,99,69
3524,100,68
3525,73,70
3526,71,70
3527,74,70
3528,72,69
3529,72,69
3530,72,69
3531,72,70
3532,72,265
3533,71,70
3534,74,71
3535,82,70
3536,73,72
3537,72,68
3538,72,70
3539,71,69
3540,72,70
3541,72,71
3542,71,82
3543,73,72
3544,72,90
3545,73,72
3546,72,69
3547,92,71
3548,115,70
3549,94,68
3550,73,248
3551,72,71
3552,73,71
3553,73,70
3554,74,70
3555,94,69
3556,73,71
3557,185,70
3558,166,69
3559,164,71
3560,140,71
3561,104,71
3562,73,70
3563,88,70
3564,99,69
3565,89,69
3566,73,71
3567,100,71
3568,88,246
3569,73,72
3570,87,72
3571,98,70
3572,89,70
3573,86,69
3574,74,71
3575,87,73
3576,72,70
3577,73,71
3578,73,71
3579,103,72
3580,87,70
3581,74,71
3582,88,70
3583,73,70
3584,73,71
3585,88,70
3586,125,71
3587,74,294
3588,74,71
3589,125,71
3590,74,72
3591,72,70
3592,73,70
3593,73,74
3594,73,70
3595,74,71
3596,73,71
3597,74,73
3598,73,71
3599,73,72
3600,72,70
3601,74,71
3602,80,73
3603,80,71
3604,72,72
3605,72,249
3606,73,72
3607,72,73
3608,75,72
3609,74,69
3610,73,72
3611,73,72
3612,73,70
3613,101,83
3614,73,72
3615,73,72
3616,73,71
3617,74,73
3618,72,71
3619,130,72
3620,147,71
3621,101,70
3622,206,71
3623,123,249
3624,88,74
3625,74,72
3626,75,87
3627,74,72
3628,74,71
3629,91,72
3630,90,71
3631,74,73
3632,74,73
3633,77,72
3634,87,71
3635,91,72
3636,73,70
3637,91,72
3638,88,70
3639,89,72
3640,128,71
3641,76,248
3642,75,74
3643,73,72
3644,76,73
3645,90,72
3646,125,72
3647,112,72
3648,114,73
3649,89,72
3650,104,72
3651,87,71
3652,76,72
3653,73,73
3654,73,71
3655,74,91
3656,75,71
3657,75,74
3658,74,71
3659,96,249
3660,80,73
3661,77,72
3662,75,72
3663,75,72
3664,74,73
3665,93,75
3666,104,73
3667,89,72
3668,102,73
3669,102,72
3670,77,73
3671,74,72
3672,76,163
3673,74,72
3674,75,75
3675,103,75
3676,100,72
3677,80,251
3678,75,80
3679,97,73
3680,112,188
3681,78,79
3682,75,72
3683,91,73
3684,89,72
3685,90,72
3686,102,74
3687,76,74
3688,76,73
3689,75,72
3690,76,72
3691,74,73
3692,76,73
3693,194,72
3694,78,73
3695,75,250
3696,76,71
3697,75,73
3698,76,227
3699,116,164
3700,101,88
3701,103,91
3702,113,73
3703,102,100
3704,77,89
3705,138,73
3706,113,73
3707,90,73
3708,101,73
3709,104,72
3710,89,73
3711,144,73
3712,92,258
3713,116,73
3714,103,75
3715,115,72
3716,104,73
3717,76,73
3718,77,75
3719,125,73
3720,127,74
3721,76,73
3722,162,73
3723,90,74
3724,77,73
3725,78,74
3726,75,74
3727,75,73
3728,75,73
3729,75,74
3730,75,252
3731,155,74
3732,143,73
3733,108,74
3734,93,72
3735,117,82
3736,93,75
3737,81,72
3738,76,74
3739,98,73
3740,96,96
3741,75,74
3742,87,75
3743,87,74
3744,79,74
3745,76,73
3746,77,75
3747,77,73
3748,77,250
3749,75,75
3750,76,74
3751,76,74
3752,75,73
3753,76,75
3754,76,74
3755,77,74
3756,76,74
3757,78,74
3758,76,73
3759,78,75
3760,76,75
3761,78,74
3762,76,73
3763,77,74
3764,77,76
3765,77,274
3766,77,75
3767,76,73
3768,78,75
3769,98,74
3770,79,75
3771,116,76
3772,80,76
3773,77,75
3774,78,75
3775,77,75
3776,77,75
3777,108,75
3778,77,95
3779,77,75
3780,76,74
3781,76,76
3782,75,252
3783,78,76
3784,77,74
3785,77,74
3786,76,75
3787,76,75
3788,86,76
3789,83,74
3790,77,75
3791,79,74
3792,75,75
3793,77,75
3794,76,75
3795,76,74
3796,78,75
3797,78,74
3798,95,77
3799,130,74
3800,93,254
3801,78,74
3802,79,75
3803,78,84
3804,78,76
3805,76,77
3806,78,75
3807,77,74
3808,78,75
3809,93,73
3810,79,75
3811,77,74
3812,79,76
3813,77,75
3814,77,73
3815,77,76
3816,78,74
3817,77,280
3818,77,76
3819,79,76
3820,77,74
3821,78,75
3822,77,75
3823,78,77
3824,77,75
3825,79,77
3826,78,76
3827,78,75
3828,77,75
3829,82,75
3830,92,75
3831,78,77
3832,78,77
3833,78,76
3834,78,254
3835,79,74
3836,78,76
3837,78,75
3838,79,75
3839,77,75
3840,78,77
3841,78,76
3842,80,77
3843,79,75
3844,79,76
3845,79,77
3846,79,76
3847,79,75
3848,80,76
3849,79,76
3850,79,76
3851,79,254
3852,79,79
3853,78,78
3854,80,75
3855,80,76
3856,80,75
3857,79,78
3858,82,76
3859,80,76
3860,79,75
3861,78,118
3862,78,78
3863,80,77
3864,78,77
3865,81,77
3866,78,85
3867,80,78
3868,78,359
3869,81,83
3870,81,75
3871,83,76
3872,234,75
3873,251,77
3874,350,76
3875,338,77
3876,356,107
3877,434,240
3878,292,132
3879,224,112
3880,302,106
3881,81,85
3882,78,118
3883,81,93
3884,79,77
3885,78,265
3886,80,78
3887,78,76
3888,79,78
3889,80,76
3890,80,77
3891,79,79
3892,80,77
3893,96,78
3894,95,77
3895,116,76
3896,646,77
3897,140,76
3898,82,78
3899,78,76
3900,79,78
3901,78,77
3902,80,259
3903,79,76
3904,80,77
3905,78,75
3906,95,77
3907,80,76
3908,107,76
3909,80,78
3910,122,76
3911,116,79
3912,93,77
3913,158,78
3914,106,77
3915,80,78
3916,79,78
3917,81,78
3918,80,252
3919,80,91
3920,80,76
3921,88,78
3922,80,98
3923,81,78
3924,78,77
3925,80,77
3926,79,77
3927,80,77
3928,80,76
3929,80,79
3930,80,78
3931,82,78
3932,82,77
3933,84,78
3934,83,77
3935,98,254
3936,83,76
3937,83,78
3938,83,77
3939,82,78
3940,80,76
3941,80,79
3942,79,78
3943,83,78
3944,79,77
3945,80,78
3946,80,76
3947,81,78
3948,80,77
3949,80,77
3950,79,78
3951,81,78
3952,80,254
3953,80,79
3954,80,78
3955,82,77
3956,144,77
3957,82,78
3958,81,79
3959,131,81
3960,82,85
3961,106,77
3962,82,78
3963,94,78
3964,96,79
3965,120,78
3966,199,78
3967,81,78
3968,165,256
3969,80,79
3970,131,79
3971,308,78
3972,344,77
3973,78,80
3974,79,80
3975,79,79
3976,79,79
3977,93,78
3978,81,79
3979,80,78
3980,80,80
3981,80,78
3982,81,81
3983,79,78
3984,82,90
3985,80,273
3986,99,79
3987,80,79
3988,81,79
3989,247,80
3990,82,81
3991,80,78
3992,81,80
3993,80,79
3994,81,80
3995,80,79
3996,81,80
3997,79,99
3998,81,80
3999,81,80
4000,81,79
4001,81,257
4002,81,80
4003,82,77
4004,82,79
4005,261,78
4006,82,79
4007,83,80
4008,82,80
4009,94,81
4010,84,80
4011,81,79
4012,82,79
4013,81,77
4014,82,79
4015,81,78
4016,81,79
4017,81,252
4018,83,82
4019,81,78
4020,82,80
4021,85,78
4022,264,81
4023,83,79
4024,82,80
4025,82,80
4026,83,79
4027,81,79
4028,82,79
4029,81,79
4030,81,79
4031,82,80
4032,82,80
4033,83,85
4034,82,323
4035,81,79
4036,96,79
4037,82,79
4038,263,80
4039,82,79
4040,83,80
4041,82,79
4042,84,80
4043,82,78
4044,83,80
4045,82,90
4046,83,80
4047,82,84
4048,82,84
4049,82,151
4050,83,432
4051,82,99
4052,83,80
4053,82,79
4054,258,80
4055,83,80
4056,82,80
4057,82,79
4058,90,80
4059,190,79
4060,132,81
4061,109,79
4062,114,81
4063,87,80
4064,84,81
4065,83,79
4066,83,258
4067,83,80
4068,83,81
4069,82,81
4070,269,79
4071,99,80
4072,84,81
4073,82,81
4074,83,80
4075,81,80
4076,83,79
4077,82,81
4078,83,80
4079,83,80
4080,83,80
4081,83,80
4082,83,255
4083,82,81
4084,84,81
4085,83,80
4086,294,81
4087,83,80
4088,85,81
4089,83,81
4090,84,98
4091,82,80
4092,84,82
4093,100,80
4094,86,81
4095,82,81
4096,85,80
4097,83,81
4098,94,271
4099,83,81
4100,84,82
4101,84,80
4102,262,81
4103,84,105
4104,83,83
4105,83,81
4106,83,81
4107,84,80
4108,83,81
4109,84,80
4110,83,81
4111,83,81
4112,83,81
4113,83,80
4114,84,261
4115,86,82
4116,83,80
4117,84,81
4118,259,79
4119,85,81
4120,82,82
4121,84,83
4122,99,80
4123,85,82
4124,83,80
4125,84,82
4126,83,81
4127,84,80
4128,84,81
4129,85,82
4130,83,260
4131,84,82
4132,84,81
4133,86,81
4134,259,81
