valeur, temps
133, 7.000000
134, 7.000000
135, 9.000000
136, 7.000000
137, 7.000000
138, 7.000000
139, 7.000000
140, 8.000000
141, 9.000000
142, 9.000000
143, 7.000000
144, 10.000000
145, 8.000000
146, 7.000000
147, 8.000000
148, 7.000000
149, 10.000000
150, 9.000000
151, 8.000000
152, 8.000000
153, 8.000000
154, 8.000000
155, 10.000000
156, 9.000000
157, 9.000000
158, 8.000000
159, 10.000000
160, 8.000000
161, 10.000000
162, 8.000000
163, 10.000000
164, 9.000000
165, 8.000000
166, 9.000000
167, 10.000000
168, 9.000000
169, 8.000000
170, 10.000000
171, 8.000000
172, 9.000000
173, 12.000000
174, 9.000000
175, 10.000000
176, 9.000000
177, 8.000000
178, 10.000000
179, 9.000000
180, 10.000000
181, 10.000000
182, 9.000000
183, 12.000000
184, 9.000000
185, 11.000000
186, 9.000000
187, 11.000000
188, 9.000000
189, 11.000000
190, 9.000000
191, 11.000000
192, 9.000000
193, 12.000000
194, 9.000000
195, 11.000000
196, 9.000000
197, 11.000000
198, 9.000000
199, 12.000000
200, 11.000000
201, 9.000000
202, 12.000000
203, 12.000000
204, 11.000000
205, 9.000000
206, 11.000000
207, 12.000000
208, 10.000000
209, 11.000000
210, 12.000000
211, 10.000000
212, 13.000000
213, 12.000000
214, 10.000000
215, 11.000000
216, 11.000000
217, 11.000000
218, 12.000000
219, 12.000000
220, 12.000000
221, 12.000000
222, 12.000000
223, 13.000000
224, 12.000000
225, 10.000000
226, 12.000000
227, 12.000000
228, 12.000000
229, 11.000000
230, 13.000000
231, 12.000000
232, 12.000000
233, 12.000000
234, 13.000000
235, 11.000000
236, 12.000000
237, 13.000000
238, 14.000000
239, 12.000000
240, 13.000000
241, 13.000000
242, 12.000000
243, 11.000000
244, 13.000000
245, 13.000000
246, 14.000000
247, 12.000000
248, 13.000000
249, 13.000000
250, 13.000000
251, 13.000000
252, 13.000000
253, 15.000000
254, 13.000000
255, 13.000000
256, 14.000000
257, 13.000000
258, 14.000000
259, 13.000000
260, 14.000000
261, 15.000000
262, 13.000000
263, 14.000000
264, 13.000000
265, 13.000000
266, 13.000000
267, 16.000000
268, 15.000000
269, 14.000000
270, 14.000000
271, 14.000000
272, 14.000000
273, 14.000000
274, 14.000000
275, 17.000000
276, 13.000000
277, 19.000000
278, 14.000000
279, 15.000000
280, 14.000000
281, 16.000000
282, 16.000000
283, 15.000000
284, 14.000000
285, 16.000000
286, 14.000000
287, 15.000000
288, 15.000000
289, 18.000000
290, 15.000000
291, 14.000000
292, 15.000000
